id,Znamka,Model,Letnik,Tip motorja,Prevoženi kilometri,ccm,kW,Menjalnik,Cena
13602555,Honda,Civic 1.5Ls,1999,bencinski motor,19500,1500,74,ročni menjalnik (5 pr.),2300
13602564,BMW,serija 5: 520d.191 KS.EURO6.Bi-XENON...,2015,diesel motor,102000,1995,140,ročni menjalnik (6 pr.),19950
13602577,koda,Rapid 1.2 TSI Elegance,2013,bencinski motor,122600,1197,77,ročni menjalnik (6 pr.),9500
13602594,Renault,Laguna Break RXE 1.8 16V,1999,bencinski motor,400000,1783,88,ročni menjalnik (5 pr.),150
13602692,Mercedes-Benz,C-Razred C 220 CDI Classic,2007,diesel motor,320000,2148,127,avtomatski menjalnik,7000
13602718,Audi,A4 2.0 TDI DPF 1x S-line,2008,diesel motor,227000,1968,105,ročni menjalnik (6 pr.),10500
13602766,Audi,A4 1.9 TDI 202.000km,2002,diesel motor,202000,1896,96,ročni menjalnik (5 pr.),4290
13602768,Audi,A4 2.0 TDI DPF,2008,diesel motor,135000,1968,105,ročni menjalnik (6 pr.),9700
13602785,Mercedes-Benz,190 D,1990,diesel motor,398000,1997,53,ročni menjalnik (5 pr.),2050
13602810,BMW,serija 5: 520d,2011,diesel motor,117400,1995,135,avtomatski menjalnik,20790
13602838,BMW,serija 5: 523i M-OPTIC-SLOVENSKI-XEN...,2005,bencinski motor,266000,2497,130,ročni menjalnik (6 pr.),7990
13602901,Suzuki,Baleno Sedan 1.6 GLX 4WD ODLIčEN ...,2000,bencinski motor,168000,1590,71,ročni menjalnik (5 pr.),250
13602903,Audi,A4 1.6,1997,bencinski motor,170000,1595,74,ročni menjalnik (5 pr.),1300
13602915,Mercedes-Benz,E-Razred E 200 Kompressor ...,2003,bencinski motor,288000,1796,120,ročni menjalnik (6 pr.),2500
13602937,Mercedes-Benz,W123 ,1987,bencinski motor,202000,1997,80,ročni menjalnik (5 pr.),600
13602980,Peugeot,508 2.0 HDi FAP Allure,2011,diesel motor,188000,1997,120,ročni menjalnik (6 pr.),8800
13602981,Opel,- KAPITAN 2.6 6 valjni l.1962,1962,bencinski motor,86000,2600,66,ročni menjalnik,14860
13603009,Chevrolet,Cruze 2.0 VCDi LS+,2011,diesel motor,188832,1991,120,ročni menjalnik (6 pr.),4600
13603063,Volkswagen,Passat 2.0 TDI Comfortline,2006,diesel motor,310000,1968,103,ročni menjalnik (6 pr.),3750
13603065,Mercedes-Benz,E-Razred E 220 d Avantgard...,2017,diesel motor,30000,1950,143,avtomatski menjalnik,37900
13603066,BMW,serija 3: 318d Advantage,2006,diesel motor,237000,1995,90,ročni menjalnik (6 pr.),6000
13603098,Volkswagen,Passat 2.0 TDI DPF Comfortlin...,2009,diesel motor,238800,1968,81,ročni menjalnik (5 pr.),7650
13603143,BMW,serija 3: 320d,2000,diesel motor,290000,1951,100,ročni menjalnik (5 pr.),2100
13603145,Mercedes-Benz,C-Razred 220 CDI Avt.Avant...,2007,diesel motor,159000,2148,125,avtomatski menjalnik,8800
13603150,Mercedes-Benz,E-Razred E 270 CDI Classic,2002,diesel motor,289000,2685,130,ročni menjalnik (6 pr.),4450
13603239,BMW,serija 3: 318d M-paket+PROFI NAVI+AL...,2014,diesel motor,120000,1995,105,ročni menjalnik (6 pr.),18990
13603290,Honda,Civic 1.3 Hybrid,2006,bencinski motor,,1339,70,ročni menjalnik (5 pr.),1450
13603382,Chevrolet,Cruze 1.8 16V LTZ. avt. klima,2011,bencinski motor,105000,1796,104,ročni menjalnik (5 pr.),6690
13603410,BMW,serija 3: 318d-BREZ POLOGA-ALU-ODLIč...,2004,diesel motor,296000,1995,85,ročni menjalnik (5 pr.),2590
13603467,Volkswagen,Passat 1.9 diesel,2008,diesel motor,176200,1896,77,ročni menjalnik (5 pr.),6300
13603487,BMW,serija 7: 730d Avt.,2011,diesel motor,205000,2993,180,avtomatski menjalnik / tiptronic,21500
13603501,Mercedes-Benz,C-Razred 220 CDI Avt.170ks...,2007,diesel motor,268000,2148,125,avtomatski menjalnik,8390
13603532,Audi,A4 1.9 TDI,2002,diesel motor,372354,1896,96,ročni menjalnik (5 pr.),2900
13603675,Volvo,S80 2.0 TD D5 XENON+NAVI+ALU+NAKUP...,2011,diesel motor,159000,1984,120,ročni menjalnik (6 pr.),12998
13603721,Volvo,S40 1.6,2001,bencinski motor,125000,1587,80,ročni menjalnik (5 pr.),2100
13603726,Audi,A4 2.0 TDI DPF Multitronic,2008,diesel motor,352350,1968,105,avtomatski menjalnik,7000
13603753,Citroen,C5 2.0 HDi FAP Exclusive-1 LASTN...,2008,diesel motor,287000,1997,100,ročni menjalnik (6 pr.),5250
13603819,Chevrolet,Aveo 1.2 BENCIN 1. LASTNIK SLO...,2012,bencinski motor,63820,1206,62,ročni menjalnik (5 pr.),3555
13603863,BMW,serija 5: 518i,1993,bencinski motor,200000,1795,83,ročni menjalnik (5 pr.),300
13603869,Daewoo,Lanos 1.5 Juliet,1999,bencinski motor,170000,1498,63,ročni menjalnik (5 pr.),250
13603933,Mercedes-Benz,C-Razred 220 cdi - 60.000k...,2015,diesel motor,60000,2143,125,ročni menjalnik (6 pr.),20990
13603965,Volkswagen,Passat KOT NOV 2.0 TDI ,2008,diesel motor,215000,1968,103,ročni menjalnik (6 pr.),6699
13603996,BMW,serija 3: 320i xDrive M Sport,2016,bencinski motor,17490,1998,135,avtomatski menjalnik / tiptronic,34490
13604047,BMW,serija 5: 530d,2004,diesel motor,385000,2993,160,avtomatski menjalnik,4850
13604065,Zastava,750 zastava 750 ,1977,bencinski motor,,767,18,ročni menjalnik (4 pr.),3100
13604144,EV,- T-KING,2012,elektro pogon,33466,,10,avtomatski menjalnik,3500
13604259,BMW,serija 3: 318D GT,2014,diesel motor,164000,1995,105,ročni menjalnik (6 pr.),15600
13604283,BMW,serija 3: 318i,1999,bencinski motor,220500,1895,87,ročni menjalnik (5 pr.),1450
13604347,BMW,serija 5: 525d,2006,diesel motor,340000,2497,130,avtomatski menjalnik,5500
13604385,Lancia,Lybra 2.4 JTD LX,2002,diesel motor,250000,2387,110,ročni menjalnik (5 pr.),450
13604401,Audi,A6 quattro 3.2 V6 FSI Tiptronic,2004,bencinski motor + plin,345000,3123,188,avtomatski menjalnik / tiptronic,5800
13604408,Honda,Accord 2.0i VTEC Comfort+SLO POREK...,2007,bencinski motor,201250,1998,114,ročni menjalnik (5 pr.),5990
13604440,Volkswagen,Passat 1.9 TDI Highline,1999,diesel motor,425000,1896,85,ročni menjalnik (5 pr.),1000
13604449,Citroen,C-Elysee Seduction 1.6i 115,2013,bencinski motor,78458,1587,85,ročni menjalnik (5 pr.),5590
13604453,Volkswagen,Passat 2.0 FSI Comfortline,2005,bencinski motor,227600,1984,110,ročni menjalnik (6 pr.),4199
13604504,Volkswagen,Passat 1.9 TDI HIGHLINE-SLO-U...,2003,diesel motor,290000,1896,96,ročni menjalnik (6 pr.),3290
13604540,Audi,A4 2.0 TDI DPF,2009,diesel motor,,1968,125,ročni menjalnik (6 pr.),7200
13604633,Audi,A6 2.0 TDI+SLO+XENON+SAMO 87.000 KM...,2012,diesel motor,87000,1968,130,ročni menjalnik (6 pr.),18880
13604646,BMW,serija 5: 525d xDrive Avt. Luxury,2015,diesel motor,192000,1995,160,avtomatski menjalnik / tiptronic,20700
13604690,Volkswagen,Passat 1.8 Turbo,1999,bencinski motor,310000,1781,110,ročni menjalnik (5 pr.),1099
13604706,Audi,A6 2.0 TDI Financiranje brez pologa,2005,diesel motor,27200,1968,103,ročni menjalnik (6 pr.),5890
13604736,Mercedes-Benz,C-Razred 220d Avt. AMG-Lin...,2016,diesel motor,137000,2143,125,ročni menjalnik (6 pr.),28990
13604755,BMW,serija 3: 320i,2013,bencinski motor,125000,1997,135,avtomatski menjalnik,14500
13604786,Audi,A4 2.0 TDI DPF FINANCIRANJE,2009,diesel motor,270000,1968,125,ročni menjalnik (6 pr.),8990
13604849,Mazda,6 CD140 GT FINANCIRANJE,2008,diesel motor,175000,1998,103,ročni menjalnik (6 pr.),4990
13604868,Audi,A4 1.9 TDI,2006,diesel motor,329000,1896,85,ročni menjalnik (5 pr.),5300
13604890,Citroen,C5 2.2 HDI AUT. EXCLUSIVE  ,2005,diesel motor,234626,2179,98,avtomatski menjalnik,2850
13604948,Seat,Cordoba 1.4 GLX,1994,bencinski motor,180000,1391,44,ročni menjalnik (5 pr.),150
13604974,Audi,A4 2.0 TDI S LINE-BIXENON-NAVI 3D-1...,2015,diesel motor,110000,1968,110,ročni menjalnik (6 pr.),17790
13604981,Volkswagen,Passat CL 1.lastnik ,1994,bencinski motor,130000,1781,66,ročni menjalnik (5 pr.),1888
13605043,Mercedes-Benz,S-Razred S 420 CDI Avt.,2007,diesel motor,270000,3996,235,avtomatski menjalnik / tiptronic,16000
13605073,Toyota,Avensis 2.0 D-4D Sol,2014,diesel motor,145000,1998,91,ročni menjalnik (6 pr.),12890
13605092,Audi,A4 2.0 TDI DPF,2008,diesel motor,289000,1968,105,ročni menjalnik (6 pr.),8700
13605126,Mitsubishi,Carisma ,2004,bencinski motor,270000,,75,ročni menjalnik (5 pr.),800
13605137,Volvo,S40 ,2003,diesel motor,249000,1870,75,ročni menjalnik (5 pr.),690
13605145,Hyundai,i30 1.4 Classic,2011,bencinski motor,205000,1396,80,ročni menjalnik (5 pr.),3450
13605197,Mercedes-Benz,C-Razred C 220 CDI°AVT.KLI...,2002,diesel motor,149900,2148,105,ročni menjalnik (6 pr.),3790
13605203,Peugeot,508 2.0 HDi FAP Active,2011,diesel motor,267000,1997,103,ročni menjalnik (6 pr.),5590
13605292,Jaguar,XE 2.0 D  E-Performance  Prestige...,2015,diesel motor,150000,1999,120,avtomatski menjalnik / tiptronic,18990
13605316,Hyundai,Accent ..1.4 GL TOP-K KLIMA.SLO ...,2006,bencinski motor,150999,1399,71,ročni menjalnik (5 pr.),1999
13605323,Audi,A8 quattro 3.0 TDI  Tiptronic XENON...,2008,diesel motor,259000,2967,171,avtomatski menjalnik / tiptronic,13777
13605355,BMW,serija 3: 323i PLIN,1999,bencinski motor + plin,289000,2494,125,ročni menjalnik (5 pr.),3790
